"event_name","event_type","event_id","event_date_start_date","event_date_status","event_seatmap_url","event_place_name","event_place_id","event_place_postalcode","event_place_location_lat","event_place_location_long","event_classification_segment_id","event_classification_segment_name","event_classification_genre_id","event_classification_genre_name","event_classification_subgenre_id","event_classification_subgenre_name","venue_name","venue_type","venue_id","venue_postalcode","venue_location_long","venue_location_lat","venue_upcoming_event_total"
"Josh A & Jake Hill With Special Guests Darko & Jordanxbell","event","rZ7HnEZ1Aab-qg","2019-10-20","onsale","n/a"," New Paris Theatre","KovZpa3zVe","97204","45.5228759","-122.673012","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6al","Rockabilly"," New Paris Theatre","venue","KovZpa3zVe","97204","-122.673012","45.5228759","10"
"OLIVIA GATWOOD Life of the Party Tour with Ari Chi & special guest Cailin Nolte","event","rZ7HnEZ1Aaf6J4","2019-10-04","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeJ","Classical","KZazBEonSMnZfZ7vF1A","Classical/Vocal","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"METALESQUE FEST 2019 - Night Two featuring Calamity Chang","event","rZ7HnEZ1Aaj814","2019-10-04","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7na","Arts & Theatre","KnvZfZ7v7nI","Dance","KZazBEonSMnZfZ7v7nl","Dance","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"METALESQUE FEST 2019 - Night One!","event","rZ7HnEZ1Aaj81A","2019-10-03","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7na","Arts & Theatre","KnvZfZ7v7nI","Dance","KZazBEonSMnZfZ7v7nl","Dance","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"LEGENDARY SHACK SHAKERS with The Stubborn Lovers and Seven Mile Lane","event","rZ7HnEZ1AajaCA","2019-10-17","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvl","Other","KZazBEonSMnZfZ7vk1I","Other","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"SCARY POCKETS","event","rZ7HnEZ1AajI-A","2019-11-13","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6F1","Pop","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"BOLLYWOOD HORROR XVII DJ ANJALI & THE INCREDIBLE KID w/ special guest AURAT (LA)","event","rZ7HnEZ1AajM4P","2019-10-26","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv1","Hip-Hop/Rap","KZazBEonSMnZfZ7vkvl","Hip-Hop/Rap","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"MOONCHILD with special guest Kiefer","event","rZ7HnEZ1Aajp84","2019-11-08","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvl","Other","KZazBEonSMnZfZ7vk1I","Other","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"Zach Deputy w/ special guest Freekbass & The Bump Assembly","event","rZ7HnEZ1AajV7g","2019-10-04","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAee","R&B","KZazBEonSMnZfZ7vkne","Neo-Soul","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"Eddie Martinez","event","rZ7HnEZ1AajV8P","2019-10-19","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v61J","Southern Rock","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"THE KVB with Numb.er and All Your Sisters","event","rZ7HnEZ1AajvQA","2019-10-18","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv6","Country","KZazBEonSMnZfZ7vAF1","Alternative Country","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"CHRISTONE 'KINGFISH' INGRAM - Fish Grease: A Juke Joint Tour + special guests The Cerny Brothers","event","rZ7HnEZ1AajY-g","2019-10-13","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvF","Dance/Electronic","KZazBEonSMnZfZ7vA1E","Dance/Electronic","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"BILLY COBHAM CROSSWINDS PROJECT feat Randy Brecker 75TH BIRTHDAY CELEBRATION TOUR","event","rZ7HnEZ1AajYbP","2019-10-08","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvt","Metal","KZazBEonSMnZfZ7vkF7","Industrial Metal","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
