event_name,event_type,event_id,event_date_start_date,event_date_status,event_seatmap_url,event_place_name,event_place_id,event_place_postalcode,event_place_location_lat,event_place_location_long,event_classification_segment_id,event_classification_segment_name,event_classification_genre_id,event_classification_genre_name,event_classification_subgenre_id,event_classification_subgenre_name
TOBYMAC Hits Deep Tour,event,vvG1HZ4wC8EsEG,3/1/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/74021s.gif,Veterans Memorial Coliseum,KovZpZAJ67kA,97208,45.533299,-122.667442,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAe7,Religious,KZazBEonSMnZfZ7v6ea,Gospel
Jonas Brothers: Happiness Begins Tour,event,vvG1HZ4tMeV0cf,10/13/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93956s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop
Luke Combs: Beer Never Broke My Heart Tour,event,vvG1HZ4EJidK9l,10/18/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/94979s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv6,Country,KZazBEonSMnZfZ7vAFa,Country
Lana Del Rey: The Norman F-cking Rockwell Tour,event,vvG1HZ4RDenN0F,10/3/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/95287s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop
Ozzy Osbourne: No More Tours 2,event,vvG1HZ44lkcgop,7/15/20,rescheduled,https://s1.ticketm.net/tmimages/venue/maps/sea/90303s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAvt,Metal,KZazBEonSMnZfZ7vaJ6,Nu-Metal
NF - The Search Tour,event,vvG1HZ4lM0S7Om,10/8/19,onsale,n/a,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vaa1,French Rap
"Tyler, The Creator with Blood Orange and GoldLink",event,vvG1HZ4lDgnIFV,10/14/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93999s.gif,Veterans Memorial Coliseum,KovZpZAJ67kA,97208,45.533299,-122.667442,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vaa1,French Rap
Trans-Siberian Orchestra 2019 Presented By Hallmark Channel,event,vvG1HZ4YN0a4FI,11/23/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/95462s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop
The Black Keys - Let's Rock Tour,event,vvG1HZ4JQKxSyw,11/22/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/92867s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6dt,Alternative Rock
Logic: The Confessions of a Dangerous Mind Tour,event,vvG1HZ4nxgnxUv,10/6/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/94144s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vaa1,French Rap
The Chainsmokers/5 Seconds of Summer/Lennon Stella: World War Joy Tour,event,vvG1HZ40-Ty3fq,12/5/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/92226s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAvF,Dance/Electronic,KZazBEonSMnZfZ7va1k,Witchstep
Trans-Siberian Orchestra 2019 Presented By Hallmark Channel,event,vvG1HZ4YN084FW,11/23/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/95462s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop
"KEVIN GATES: I'M HIM TOUR with Special Guests YK Osiris, Rod Wave & SDoT Fresh",event,rZ7HnEZ1Aa_SAA,11/21/19,onsale,n/a,Roseland Theater,KovZpap9re,97201,45.5232796,-122.6764252,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vkdA,Urban
Jeff Dunham: Seriously,event,vvG1HZ4wRoJ6I0,4/24/20,offsale,https://s1.ticketm.net/tmimages/venue/maps/sea/74021s.gif,Veterans Memorial Coliseum,KovZpZAJ67kA,97208,45.533299,-122.667442,KZFzniwnSyZfZ7v7na,Arts & Theatre,KnvZfZ7vAe1,Comedy,KZazBEonSMnZfZ7vF17,Comedy
"Hozier: Wasteland, Baby! Tour",event,vvG1HZ4PmyBpiv,10/17/19,onsale,n/a,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop
Trevor Noah: Loud & Clear Tour,event,vvG1HZ4n6q4g-1,12/14/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93984s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7na,Arts & Theatre,KnvZfZ7vAe1,Comedy,KZazBEonSMnZfZ7vF17,Comedy
Gloria Trevi: Diosa De La Noche Tour w/ special guest Karol G,event,vvG1HZ40B4AsgL,10/20/19,onsale,n/a,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAJ6,Latin,KZazBEonSMnZfZ7va1a,Latin
Sara Bareilles: Amidst The Chaos Tour 2019,event,vvG1HZ4ICbc3R8,10/24/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93437s.gif,Veterans Memorial Coliseum,KovZpZAJ67kA,97208,45.533299,-122.667442,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop
Illenium: The Ascend Tour,event,vvG1HZ4img13UX,12/1/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93685s.gif,Veterans Memorial Coliseum,KovZpZAJ67kA,97208,45.533299,-122.667442,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAvF,Dance/Electronic,KZazBEonSMnZfZ7va1k,Witchstep
Summer Walker,event,Z7r9jZ1AeqUxv,11/14/19,onsale,http://resale.ticketmaster.com.au/akamai-content/graphics/TMResale/2/VenueMaps/2600-0-0-1-GAStage71229.png,McMenamins Crystal Ballroom,ZFr9jZd6vv,97209,45.5303,-122.684799,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAvl,Other,KZazBEonSMnZfZ7vk1I,Other
Brantley Gilbert - Fire't Up 2020 Tour,event,vvG1HZ4slOF067,3/20/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/80966s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv6,Country,KZazBEonSMnZfZ7vAFa,Country
Kevin Gates,event,Z7r9jZ1Aeq4e9,11/21/19,onsale,http://resale.ticketmaster.com.au/akamai-content/maps/2320-1-1-main.gif,Roseland Theater,ZFr9jZd7dv,97209,45.5303,-122.684799,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vkvl,Hip-Hop/Rap
Disney On Ice presents Mickey's Search Party,event,vvG1HZ4ISbk44P,10/26/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93745s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7n1,Miscellaneous,KnvZfZ7v7lI,Ice Shows,KZazBEonSMnZfZ7vAv6,Ice Shows
Disney On Ice presents Mickey's Search Party,event,vvG1HZ4ISb6A4n,10/26/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93745s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7n1,Miscellaneous,KnvZfZ7v7lI,Ice Shows,KZazBEonSMnZfZ7vAv6,Ice Shows
Bush & +LIVE+ - The Altimate Tour,event,vvG1HZ4Rl8YNTj,10/15/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/95241s.gif,Veterans Memorial Coliseum,KovZpZAJ67kA,97208,45.533299,-122.667442,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6dt,Alternative Rock
Young Thug & Machine Gun Kelly,event,vvG1HZ4R6PbSTG,11/11/19,rescheduled,https://s1.ticketm.net/tmimages/venue/maps/sea/95104s.gif,Theater of the Clouds at Moda Center,KovZpZAJ6E6A,97227,45.53156475,-122.6668336,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vaa1,French Rap
Die Antwoord - House Of Zef USA Tour 2019,event,vvG1HZ4ITtYg0g,5/20/20,rescheduled,https://s1.ticketm.net/tmimages/venue/maps/sea/93685s.gif,Veterans Memorial Coliseum,KovZpZAJ67kA,97208,45.533299,-122.667442,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vaa1,French Rap
Portland Trail Blazers vs. Phoenix Suns,event,vvG1HZ4Yh1DN_Q,10/12/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Bastille - Doom Days Tour Part 1,event,vvG1HZ4tmPixAr,10/7/19,onsale,n/a,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop
Rex Orange County,event,Z7r9jZ1AeOdaO,1/19/20,onsale,http://resale.ticketmaster.com.au/akamai-content/graphics/TMResale/2/VenueMaps/2159-25310-4-1-KellerAuditoriumDavidBlaine.png,Keller Auditorium,ZFr9jZdek1,97201,45.497799,-122.693703,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAvl,Other,KZazBEonSMnZfZ7vk1I,Other
Disney On Ice presents Mickey's Search Party,event,vvG1HZ4ISbF44S,10/27/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93745s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7n1,Miscellaneous,KnvZfZ7v7lI,Ice Shows,KZazBEonSMnZfZ7vAv6,Ice Shows
Disney On Ice presents Mickey's Search Party,event,vvG1HZ4ISbAP4q,10/25/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93745s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7n1,Miscellaneous,KnvZfZ7v7lI,Ice Shows,KZazBEonSMnZfZ7vAv6,Ice Shows
Bring Me The Horizon - Threesome Tour,event,vvG1HZ4Yh9yggb,10/14/19,onsale,n/a,Theater of the Clouds at Moda Center,KovZpZAJ6E6A,97227,45.53156475,-122.6668336,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop
Disney On Ice presents Mickey's Search Party,event,vvG1HZ4ISbaA4X,10/27/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93745s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7n1,Miscellaneous,KnvZfZ7v7lI,Ice Shows,KZazBEonSMnZfZ7vAv6,Ice Shows
Disney On Ice presents Mickey's Search Party,event,vvG1HZ4ISb6g4R,10/26/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93745s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7n1,Miscellaneous,KnvZfZ7v7lI,Ice Shows,KZazBEonSMnZfZ7vAv6,Ice Shows
Portland Trail Blazers vs. Philadelphia 76ers,event,vvG1HZ4YSASdfL,11/2/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Atlanta Hawks,event,vvG1HZ4YSkaKpk,11/10/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
