"venue_name","venue_type","venue_id","venue_postalcode","venue_location_long","venue_location_lat","venue_upcoming_event_total","event_name","event_type","event_id","event_date_start_date","event_date_status","event_seatmap_url","event_place_name","event_place_id","event_place_postalcode","event_place_location_lat","event_place_location_long","event_classification_segment_id","event_classification_segment_name","event_classification_genre_id","event_classification_genre_name","event_classification_subgenre_id","event_classification_subgenre_name"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Boston Celtics","event","vvG1HZ4YSAcNfG","2020-02-25","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Houston Rockets","event","vvG1HZ4YSAidfA","2020-01-29","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Houston Rockets","event","vvG1HZ4YSAidfA","2020-01-29","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. LA Clippers","event","vvG1HZ4YSAIdKc","2020-04-15","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. LA Clippers","event","vvG1HZ4YSAIdKc","2020-04-15","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. New York Knicks","event","vvG1HZ4YSkGSp3","2019-12-10","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. New York Knicks","event","vvG1HZ4YSkGSp3","2019-12-10","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Detroit Pistons","event","vvG1HZ4YSkAK4O","2020-02-23","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Detroit Pistons","event","vvG1HZ4YSkAK4O","2020-02-23","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Dallas Mavericks","event","vvG1HZ4YSkZK4k","2020-01-23","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
